"proposal_daisakusen_01_1","Proposal Daisakusen","proposal_daisakusen","episode","01","1","http://images.video.msn.com/flash/soapbox1_1.swf?c=v&v=85a56bb1-fb9b-49d8-a760-3e8c5dc1c97c","MSN"
"proposal_daisakusen_01_2","Proposal Daisakusen","proposal_daisakusen","episode","01","2","http://images.video.msn.com/flash/soapbox1_1.swf?c=v&v=bf117ded-3e59-4f59-a49d-a55f94cc434e","MSN"
"proposal_daisakusen_01_3","Proposal Daisakusen","proposal_daisakusen","episode","01","3","http://images.video.msn.com/flash/soapbox1_1.swf?c=v&v=dca21c95-799f-45aa-910e-19c9d8e19fc2","MSN"
"proposal_daisakusen_01_4","Proposal Daisakusen","proposal_daisakusen","episode","01","4","http://images.video.msn.com/flash/soapbox1_1.swf?c=v&v=bb161b7b-7b72-4d08-a527-8fde121e250b","MSN"
"proposal_daisakusen_02_1","Proposal Daisakusen","proposal_daisakusen","episode","02","1","http://images.video.msn.com/flash/soapbox1_1.swf?c=v&v=1a47f671-88c8-46fd-a953-13899ba11b90","MSN"
"proposal_daisakusen_02_2","Proposal Daisakusen","proposal_daisakusen","episode","02","2","http://images.video.msn.com/flash/soapbox1_1.swf?c=v&v=819692dd-53c6-4b21-9203-7296d99b89f4","MSN"
"proposal_daisakusen_02_3","Proposal Daisakusen","proposal_daisakusen","episode","02","3","http://images.video.msn.com/flash/soapbox1_1.swf?c=v&v=a3fd6766-feca-40e2-9c71-78b6bf666812","MSN"
"proposal_daisakusen_02_4","Proposal Daisakusen","proposal_daisakusen","episode","02","4","http://images.video.msn.com/flash/soapbox1_1.swf?c=v&v=90061a83-8a82-4c1a-9439-045705c413e3","MSN"
"proposal_daisakusen_03_1","Proposal Daisakusen","proposal_daisakusen","episode","03","1","http://video.google.com/googleplayer.swf?docid=584921896321764835&hl=en&fs=true","Google"
"proposal_daisakusen_03_2","Proposal Daisakusen","proposal_daisakusen","episode","03","2","http://video.google.com/googleplayer.swf?docid=1854480941830104818&hl=en&fs=true","Google"
"proposal_daisakusen_03_3","Proposal Daisakusen","proposal_daisakusen","episode","03","3","http://video.google.com/googleplayer.swf?docid=-2016915676525821976&hl=en&fs=true","Google"
